Rownum,ItemIdent,target,TargetSoundfile,tword,prime,PrimeSoundfile,ptype,pword,Sequence,Condition,Group
56,F26,raspravljao,raspravljao.wav,word,tjatao,tjatao.wav,F,nonword,2N,Filler,3
57,F27,trakao,trakao.wav,nonword,gobeo,gobeo.wav,F,nonword,3N,Filler,3
58,F28,bikao,bikao.wav,nonword,takmichio,takmichio.wav,F,word,1N,Filler,3
59,F29,bresao,bresao.wav,nonword,obileo,obileo.wav,F,nonword,2N,Filler,3
60,F30,pratio,pratio.wav,word,planirao,planirao.wav,F,word,3N,Filler,3
61,F31,okratjao,okratjao.wav,nonword,javio,javio.wav,F,word,1N,Filler,3
62,F32,kupovao,kupovao.wav,word,klirnuo,klirnuo.wav,F,nonword,2N,Filler,3
63,F33,nudio,nudio.wav,word,platio,platio.wav,F,word,3N,Filler,3
64,F34,vregao,vregao.wav,nonword,platjao,platjao.wav,F,word,1N,Filler,3
65,F35,govoshio,govoshio.wav,nonword,vozio,vozio.wav,F,word,2N,Filler,3
66,F36,trogao,trogao.wav,nonword,sunio,sunio.wav,F,nonword,3N,Filler,3
67,F37,ispralio,ispralio.wav,nonword,zozao,zozao.wav,F,nonword,1N,Filler,3
68,F38,buzio,buzio.wav,nonword,falio,falio.wav,F,word,2N,Filler,3
69,F39,molio,molio.wav,word,lezhao,lezhao.wav,F,word,3N,Filler,3
70,F40,pustio,pustio.wav,word,odvonio,odvonio.wav,F,nonword,1N,Filler,3
71,F41,vredeo,vredeo.wav,word,bitao,bitao.wav,F,nonword,2N,Filler,3
72,F42,lachio,lachio.wav,nonword,prubao,prubao.wav,F,nonword,3N,Filler,3
73,F43,vekivao,vekivao.wav,nonword,delio,delio.wav,F,word,1N,Filler,3
74,F44,gitirao,gitirao.wav,nonword,felio,felio.wav,F,nonword,2N,Filler,3
75,F45,goreo,goreo.wav,word,borio,borio.wav,F,word,3N,Filler,3
76,F46,bretirao,bretirao.wav,nonword,janio,janio.wav,F,nonword,1N,Filler,3
77,F47,blesao,blesao.wav,nonword,birao,birao.wav,F,word,2N,Filler,3
78,F48,tragao,tragao.wav,word,koshtao,koshtao.wav,F,word,3N,Filler,3
79,F49,prezhio,prezhio.wav,nonword,javljao,javljao.wav,F,word,1N,Filler,3
80,F50,istrazhio,istrazhio.wav,word,trakio,trakio.wav,F,nonword,2N,Filler,3
81,F51,fermirao,fermirao.wav,nonword,valjao,valjao.wav,F,word,3N,Filler,3
82,F52,lichio,lichio.wav,word,svedomio,svedomio.wav,F,nonword,1N,Filler,3
83,F53,cemao,cemao.wav,nonword,zamatio,zamatio.wav,F,nonword,2N,Filler,3
84,F54,leveo,leveo.wav,nonword,vratjao,vratjao.wav,F,word,3N,Filler,3
85,F55,troshio,troshio.wav,word,prazhio,prazhio.wav,F,nonword,1N,Filler,3
86,F56,pazio,pazio.wav,word,pozhegao,pozhegao.wav,F,nonword,2N,Filler,3
87,F57,grujao,grujao.wav,nonword,genuo,genuo.wav,F,nonword,3N,Filler,3
88,F58,pobegao,pobegao.wav,word,chuvao,chuvao.wav,F,word,1N,Filler,3
89,F59,isplatio,isplatio.wav,word,pucao,pucao.wav,F,word,2N,Filler,3
90,F60,sprezhio,sprezhio.wav,nonword,gurnuo,gurnuo.wav,F,word,3N,Filler,3
91,F61,gario,gario.wav,nonword,isprochao,isprochao.wav,F,nonword,1N,Filler,3
92,F62,pljuvao,pljuvao.wav,word,pruzhao,pruzhao.wav,F,word,2N,Filler,3
93,F63,pavario,pavario.wav,nonword,testirao,testirao.wav,F,word,3N,Filler,3
94,F64,lumao,lumao.wav,nonword,glepao,glepao.wav,F,nonword,1N,Filler,3
95,F65,respravljao,respravljao.wav,nonword,repio,repio.wav,F,nonword,2N,Filler,3
96,F66,vimeo,vimeo.wav,nonword,kazao,kazao.wav,F,word,3N,Filler,3
97,F67,tuzhio,tuzhio.wav,word,morao,morao.wav,F,word,1N,Filler,3
98,F68,snivio,snivio.wav,nonword,garnuo,garnuo.wav,F,nonword,2N,Filler,3
99,F69,isplivao,isplivao.wav,word,kucao,kucao.wav,F,word,3N,Filler,3
100,F70,ispanao,ispanao.wav,nonword,guchao,guchao.wav,F,nonword,1N,Filler,3
101,F71,vegao,vegao.wav,nonword,sholirao,sholirao.wav,F,nonword,2N,Filler,3
102,F72,bukio,bukio.wav,nonword,rachunao,rachunao.wav,F,word,3N,Filler,3
103,F73,stramao,stramao.wav,nonword,isprichao,isprichao.wav,F,word,1N,Filler,3
104,F74,nervirao,nervirao.wav,word,branio,branio.wav,F,word,2N,Filler,3
105,F75,trudio,trudio.wav,word,svipao,svipao.wav,F,nonword,3N,Filler,3
